journal_id,name,institution,sinta_url,accreditation,subject_area,p_issn,e_issn,link_google_scholar,link_garuda,link_website,impact_factor,total_citations,gs_citations_all,gs_citations_since_2020,gs_h_index_all,gs_h_index_since_2020,gs_i10_index_all,gs_i10_index_since_2020
11,Jurnal Inovasi Teknologi Pendidikan,PROGRAM PASCASARJANA UNIVERSITAS NEGERI YOGYAKARTA,https://sinta.kemdikbud.go.id/journals/profile/11,Sinta 2,Education,24070963,24607177,#!,https://garuda.kemdikbud.go.id/journal/view/7198,http://journal.uny.ac.id/index.php/jitp,5.34722,6650.0,6650.0,6362.0,42.0,41.0,106.0,103.0
12,ELEMENTARY SCHOOL JOURNAL PGSD FIP UNIMED,PRODI PGSD FIP UNIMED,https://sinta.kemdikbud.go.id/journals/profile/12,Sinta 4,,23551747,23551747,https://scholar.google.co.id/citations?user=IK83y8QAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/7305,http://jurnal.unimed.ac.id/2012/index.php/elementary/,1.73973,1829.0,1829.0,1744.0,18.0,18.0,35.0,32.0
13,JIPM (Jurnal Ilmiah Pendidikan Matematika),UNIVERSITAS PGRI MADIUN,https://sinta.kemdikbud.go.id/journals/profile/13,Sinta 3,Education,25021745,25021745,https://scholar.google.co.id/citations?user=0ezhLDwAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/8255,http://e-journal.unipma.ac.id/index.php/jipm,16.7143,2707.0,2707.0,2535.0,25.0,25.0,65.0,61.0
14,Jurnal Ekonomi dan Bisnis Islam,UNIVERSITAS AIRLANGGA,https://sinta.kemdikbud.go.id/journals/profile/14,Sinta 2,Economy,24426563,25273027,https://scholar.google.co.id/citations?user=37RORb8AAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/9151,https://e-journal.unair.ac.id/index.php/JEBIS,0.0,28.0,28.0,27.0,3.0,3.0,0.0,0.0
15,,,https://sinta.kemdikbud.go.id/journals/profile/15,,,,,,,,,,,,,,,
16,Forum Geografi,"FAKULTAS GEOGRAFI, UNIVERSITAS MUHAMMADIYAH SURAKARTA",https://sinta.kemdikbud.go.id/journals/profile/16,Sinta 1,Science,08520682,24603945,#!,https://garuda.kemdikbud.go.id/journal/view/8143,http://journals.ums.ac.id/index.php/fg/issue/archive,4.68421,3795.0,3795.0,2707.0,28.0,23.0,108.0,83.0
17,Jurnal Teknologi Pertanian,UNIVERSITAS BRAWIJAYA,https://sinta.kemdikbud.go.id/journals/profile/17,Sinta 2,Science,14115131,25282794,https://scholar.google.co.id/citations?user=kKkaFRQAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/7353,https://jtp.ub.ac.id/index.php/jtp,0.789474,1066.0,1066.0,639.0,20.0,15.0,29.0,22.0
18,Jurnal Perbenihan Tanaman Hutan,BALAI PENELITIAN TEKNOLOGI PERBENIHAN TANAMAN HUTAN,https://sinta.kemdikbud.go.id/journals/profile/18,Sinta 2,,23548568,23548568,https://scholar.google.co.id/citations?user=G8ZaMdQAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/6170,http://ejournal.forda-mof.org/ejournal-litbang/index.php/BPTPTH,0.0,400.0,400.0,242.0,11.0,9.0,14.0,6.0
19,AL-Albab,PASCASARJANA IAIN PONTIANAK,https://sinta.kemdikbud.go.id/journals/profile/19,Sinta 2,"Social, Religion",25028340,25028340,https://scholar.google.co.id/citations?user=flhfmGIAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/11155,http://jurnaliainpontianak.or.id/index.php/alalbab/issue/archive,1.25,686.0,686.0,591.0,13.0,12.0,25.0,17.0
20,Otoritas : Jurnal Ilmu Pemerintahan,"PROGRAM STUDI ILMU PEMERINTAHAN, UNIVERSITAS MUHAMMADIYAH MAKASSAR",https://sinta.kemdikbud.go.id/journals/profile/20,Sinta 2,Social,20883706,25029320,https://scholar.google.co.id/citations?user=AIJ_FKgAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/10650,http://journal.unismuh.ac.id/index.php/Otoritas/,6.49206,2124.0,2124.0,1946.0,20.0,19.0,49.0,46.0
21,Jurnal Ekologi Kesehatan,"BADAN PENELITIAN DAN PENGEMBANGAN KESEHATAN, KEMENTERIAN KESEHATAN",https://sinta.kemdikbud.go.id/journals/profile/21,Sinta 3,Health,14124025,23548754,https://scholar.google.co.id/citations?user=4a_eUIEAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/4887,http://ejournal2.litbang.kemkes.go.id/index.php/jek/,0.0,1445.0,1445.0,644.0,19.0,11.0,36.0,14.0
22,Jurnal Kesehatan Reproduksi,IKATAN AHLI KESEHATAN MASYARAKAT INDONESIA (IAKMI) KOTA TANGERANG SELATAN,https://sinta.kemdikbud.go.id/journals/profile/22,Sinta 2,Health,2087703,23548762,https://scholar.google.co.id/citations?user=sScjJowAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/32012,https://journaliakmitangsel2.iakmi.or.id/index.php/kespro/,1.15625,2730.0,2730.0,2287.0,31.0,28.0,83.0,73.0
23,International Journal of Nusantara Islam,PROGRAM PASCASARJANA UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI BANDUNG,https://sinta.kemdikbud.go.id/journals/profile/23,Sinta 3,"Humanities, Art, Religion",22525904,2355651,https://scholar.google.co.id/citations?user=rqGtwPQAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/5956,http://journal.uinsgd.ac.id/index.php/ijni,0.0,1324.0,1324.0,1143.0,19.0,17.0,48.0,36.0
24,JPPM (Jurnal Pendidikan dan Pemberdayaan Masyarakat),"PROGRAM PASCASARJANA, UNIVERSITAS NEGERI YOGYAKARTA COOPERATED WITH THE PROFESSION OF ASSOCIATION OF AKADEMISI PENDIDIKAN NONFORMAL DAN INFORMAL INDONESIA (IKAPENFI)",https://sinta.kemdikbud.go.id/journals/profile/24,Sinta 2,"Science, Education, Engineering",23551615,24772992,https://scholar.google.co.id/citations?user=9bWoGDgAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/7200,http://journal.uny.ac.id/index.php/jppm,0.0,2867.0,2867.0,2654.0,27.0,25.0,76.0,72.0
25,Wawasan : Jurnal Ilmiah Agama dan Sosial Budaya,UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI BANDUNG,https://sinta.kemdikbud.go.id/journals/profile/25,Sinta 2,"Humanities, Art, Religion",25273213,25023489,https://scholar.google.co.id/citations?user=HuP0ytMAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/8070,http://journal.uinsgd.ac.id/index.php/jw,0.0,2149.0,2149.0,1984.0,22.0,21.0,48.0,47.0
26,Millah: Journal of Religious Studies,UNIVERSITAS ISLAM INDONESIA,https://sinta.kemdikbud.go.id/journals/profile/26,Sinta 1,"Humanities, Art, Religion",14120992,2527922,https://scholar.google.co.id/citations?user=3TpLhOoAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/27779,http://journal.uii.ac.id/Millah,3.09524,2765.0,2765.0,2421.0,25.0,22.0,86.0,78.0
27,Dinika Academic Journal of Islamic Studies,UIN RADEN MAS SAID SURAKARTA,https://sinta.kemdikbud.go.id/journals/profile/27,Sinta 2,Religion,25034219,25034227,https://scholar.google.co.id/citations?user=0kqYzjgAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/9393,https://ejournal.uinsaid.ac.id/index.php/dinika,1.12,529.0,529.0,503.0,12.0,12.0,17.0,16.0
28,Jurnal Studi Agama dan Masyarakat,LP2M IAIN PALANGKA RAYA,https://sinta.kemdikbud.go.id/journals/profile/28,Sinta 3,"Humanities, Art, Religion",18298232,25408232,https://scholar.google.co.id/citations?user=iWX4X78AAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/8978,http://e-journal.iain-palangkaraya.ac.id/index.php/jsam,2.0,1397.0,1397.0,1319.0,18.0,18.0,37.0,36.0
29,,,https://sinta.kemdikbud.go.id/journals/profile/29,,,,,,,,,,,,,,,
30,Jurnal Kesehatan Lingkungan indonesia,UNIVERSITAS DIPONEGORO,https://sinta.kemdikbud.go.id/journals/profile/30,Sinta 2,"Health, Social",14124939,25027085,https://scholar.google.co.id/citations?user=VyNQ8joAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/1283,https://ejournal.undip.ac.id/index.php/jkli,4.44203,4751.0,4751.0,3712.0,34.0,30.0,149.0,112.0
31,JURNAL BIOEDUKATIKA,UNIVERSITAS AHMAD DAHLAN,https://sinta.kemdikbud.go.id/journals/profile/31,Sinta 2,Education,25415646,25415646,https://scholar.google.co.id/citations?user=oLD4vDwAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/11011,http://journal.uad.ac.id/index.php/BIOEDUKATIKA/,0.0,2060.0,2060.0,1863.0,21.0,20.0,42.0,36.0
32,Jurnal Pendidikan Indonesia,LEMBAGA PENELITIAN DAN PENGABDIAN KEPADA MASYARAKAT UNIVERSITAS PENDIDIKAN GANESHA,https://sinta.kemdikbud.go.id/journals/profile/32,Sinta 2,Education,25417207,25417207,https://scholar.google.co.id/citations?user=3APHLTMAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/5112,http://ejournal.undiksha.ac.id/index.php/JPI/index,0.0,7183.0,7183.0,6550.0,41.0,40.0,129.0,124.0
33,jurnal Ilmu Pertanian (Agricultural Science),UNIVERSITAS GADJAH MADA,https://sinta.kemdikbud.go.id/journals/profile/33,Sinta 2,Agriculture,01264214,25277162,https://scholar.google.co.id/citations?user=ms-M2gYAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/14634,https://jurnal.ugm.ac.id/jip,1.07143,2111.0,2111.0,1451.0,19.0,17.0,50.0,42.0
34,al-Balagh : Jurnal Dakwah dan Komunikasi,FAKULTAS USHULUDDIN DAN DAKWAH UIN RADEN MAS SAID SURAKARTA,https://sinta.kemdikbud.go.id/journals/profile/34,Sinta 2,Religion,25275704,25275682,#!,https://garuda.kemdikbud.go.id/journal/view/9396,https://ejournal.uinsaid.ac.id/index.php/al-balagh/,1.05556,559.0,559.0,546.0,11.0,11.0,14.0,13.0
35,Jurnal Kebidanan,PROGRAM STUDI D III KEBIDANAN FAKULTAS ILMU KEPERAWATAN DAN KESEHATAN UNIVERSITAS MUHAMMADIYAH SEMARANG,https://sinta.kemdikbud.go.id/journals/profile/35,Sinta 3,Health,23018372,25497081,https://scholar.google.co.id/citations?user=o8oo078AAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/422,http://jurnal.unimus.ac.id/index.php/jur_bid,2.81818,2842.0,2842.0,2536.0,27.0,26.0,80.0,74.0
36,Turbo : Jurnal Program Studi Teknik Mesin,UNIVERSITAS MUHAMMADIYAH METRO,https://sinta.kemdikbud.go.id/journals/profile/36,Sinta 3,Engineering,23016663,2477250,https://scholar.google.co.id/citations?user=Tu-1xfgAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/10774,http://ojs.ummetro.ac.id/index.php/turbo/index,0.0,1200.0,1200.0,1158.0,15.0,15.0,35.0,35.0
37,Jurnal Dinamika Akuntansi dan Bisnis (JDAB),UNIVERSITAS SYIAH KUALA,https://sinta.kemdikbud.go.id/journals/profile/37,Sinta 2,,23559462,25281143,https://scholar.google.co.id/citations?user=RCCibs0AAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/28951,https://jurnal.usk.ac.id/JDAB/index,5.31707,3885.0,3885.0,3635.0,32.0,30.0,99.0,96.0
38,Jurnal Ilmiah Psikologi Terapan,UNIVERSITAS MUHAMMADIYAH MALANG,https://sinta.kemdikbud.go.id/journals/profile/38,Sinta 3,Social,23018267,25408291,https://scholar.google.co.id/citations?user=3EwvLAkAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/255,http://ejournal.umm.ac.id/index.php/jipt/,0.0,6760.0,6760.0,5823.0,45.0,42.0,142.0,135.0
39,Jurnal Kesehatan,POLITEKNIK KESEHATAN TANJUNGKARANG,https://sinta.kemdikbud.go.id/journals/profile/39,Sinta 3,Health,20867751,25485695,https://scholar.google.co.id/citations?user=I8T2n0cAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/14714,http://ejurnal.poltekkes-tjk.ac.id/index.php/JK/,5.37097,9811.0,9811.0,9357.0,49.0,49.0,237.0,230.0
40,,,https://sinta.kemdikbud.go.id/journals/profile/40,,,,,,,,,,,,,,,
41,Techno.Com,LPPM UNIVERSITAS DIAN NUSWANTORO,https://sinta.kemdikbud.go.id/journals/profile/41,Sinta 3,"Science, Engineering",14122693,23562579,https://scholar.google.co.id/citations?user=lQ4ckkgAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/5192,http://publikasi.dinus.ac.id/index.php/technoc/index,2.66052,4901.0,4901.0,4522.0,32.0,31.0,136.0,127.0
42,Premiere Educandum : Jurnal Pendidikan Dasar dan Pembelajaran,UNIVERSITAS PGRI MADIUN,https://sinta.kemdikbud.go.id/journals/profile/42,Sinta 2,Education,20885350,25285173,https://scholar.google.co.id/citations?user=q5Je9dcAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/12894,http://e-journal.unipma.ac.id/index.php/PE/,0.0,3352.0,3352.0,3127.0,30.0,29.0,80.0,74.0
43,"ANDHARUPA, Jurnal Desain Komunikasi Visual & Multimedia",UNIVERSITAS DIAN NUSWANTORO,https://sinta.kemdikbud.go.id/journals/profile/43,Sinta 2,"Humanities, Education, Art",24773913,24773913,https://scholar.google.co.id/citations?user=luKqQzwAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/8269,http://publikasi.dinus.ac.id/index.php/andharupa/index,3.03529,1843.0,1843.0,1779.0,20.0,19.0,57.0,55.0
44,Sains Medika : Jurnal Kedokteran dan Kesehatan,FAKULTAS KEDOKTERAN UNIVERSITAS ISLAM SULTAN AGUNG SEMARANG,https://sinta.kemdikbud.go.id/journals/profile/44,Sinta 3,Health,20851545,2339093,https://scholar.google.co.id/citations?user=mFwLyn0AAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/322,http://jurnal.unissula.ac.id/index.php/sainsmedika/issue/archive,0.384615,1074.0,1074.0,806.0,15.0,11.0,28.0,17.0
45,JoURNAL OF ENGLISH LANGUAGE AND EDUCATION (JELE),UNIVERSITAS MERCU BUANA YOGYAKARTA,https://sinta.kemdikbud.go.id/journals/profile/45,Sinta 4,Education,25416421,25416421,https://scholar.google.co.id/citations?user=tzKMdZAAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/10318,http://ejurnal.mercubuana-yogya.ac.id/index.php/jele/index,0.0,23.0,23.0,23.0,3.0,3.0,0.0,0.0
46,Jurnal Konseling Gusjigang,PROGRAM STUDI BIMBINGAN DAN KONSELING UNIVERSITAS MURIA KUDUS,https://sinta.kemdikbud.go.id/journals/profile/46,Sinta 3,"Education, Social",2503281,2503281,https://scholar.google.co.id/citations?user=5ye27bQAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/10952,http://jurnal.umk.ac.id/index.php/gusjigang,0.0,3820.0,3820.0,3477.0,29.0,27.0,45.0,45.0
47,TELL-US JOURNAL,"PENDIDIKAN BAHASA INGGRIS, STKIP PGRI SUMATERA BARAT",https://sinta.kemdikbud.go.id/journals/profile/47,Sinta 3,Education,25027468,25027468,https://scholar.google.co.id/citations?user=jcLH8XoAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/29835,http://ejournal.stkip-pgri-sumbar.ac.id/index.php/tell-us/issue/archive,0.0,277.0,277.0,263.0,9.0,9.0,9.0,9.0
48,Jurnal Manajemen Pemasaran,UNIVERSITAS KRISTEN PETRA,https://sinta.kemdikbud.go.id/journals/profile/48,Sinta 4,Economy,1907235,2597615,https://scholar.google.co.id/citations?user=LO1jgN8AAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/13174,http://jurnalpemasaran.petra.ac.id/,4.92593,11191.0,11191.0,8058.0,55.0,48.0,162.0,131.0
49,,,https://sinta.kemdikbud.go.id/journals/profile/49,,,,,,,,,,,,,,,
50,Jurnal Nasional Teknologi dan Sistem Informasi (TEKNOSI),"JURUSAN SISTEM INFORMASI, UNIVERSITAS ANDALAS",https://sinta.kemdikbud.go.id/journals/profile/50,Sinta 3,Science,24603465,24768812,https://scholar.google.co.id/citations?user=9fCM3tYAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/8079,https://teknosi.fti.unand.ac.id/index.php/teknosi/issue/archive,4.55102,3865.0,3865.0,3619.0,29.0,28.0,83.0,79.0
51,Jurnal Penelitian Pertanian Terapan,UNIT PENELITIAN DAN PENGABDIAN MASYARAKAT,https://sinta.kemdikbud.go.id/journals/profile/51,Sinta 2,Agriculture,14105020,20471781,https://scholar.google.co.id/citations?user=mYyZKk0AAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/9983,http://www.jptonline.or.id/index.php/ojs-jpt,1.09524,4187.0,4187.0,3556.0,30.0,27.0,122.0,94.0
52,"Lensa : Kajian Kebahasaan, Kesusastraan, dan Budaya","FAKULTAS BAHASA DAN BUDAYA ASING (FBBA), UNIVERSITAS MUHAMMADIYAH SEMARANG",https://sinta.kemdikbud.go.id/journals/profile/52,Sinta 3,Education,20866100,2503328,https://scholar.google.co.id/citations?user=XkLiqCoAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/424,http://jurnal.unimus.ac.id/index.php/lensa,1.5,1061.0,1061.0,995.0,15.0,15.0,25.0,22.0
53,Jurnal Pendidikan Matematika dan Sains,"FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM, UNIVERSITAS NEGERI YOGYAKARTA",https://sinta.kemdikbud.go.id/journals/profile/53,Sinta 3,Education,25491458,25491458,https://scholar.google.co.id/citations?user=EPA7zcIAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/447,http://journal.uny.ac.id/index.php/jpms,0.981132,2461.0,2461.0,2003.0,25.0,22.0,65.0,55.0
54,Jurnal Penelitian Hukum,UNIT RISET DAN PUBLIKASI FAKULTAS HUKUM UGM,https://sinta.kemdikbud.go.id/journals/profile/54,Sinta 3,Social,2086499,2086499,https://scholar.google.co.id/citations?user=z6fbWiEAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/14753,https://jurnal.ugm.ac.id/jph/issue/archive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Jurnal Teknik Sipil,UNIVERSITAS ATMA JAYA YOGYAKARTA,https://sinta.kemdikbud.go.id/journals/profile/55,Sinta 3,Engineering,1411660,25492918,https://scholar.google.co.id/citations?user=x3iZgoUAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/5408,https://ojs.uajy.ac.id/index.php/jts,2.83333,1650.0,1650.0,1162.0,20.0,17.0,48.0,35.0
56,Journal on English as a Foreign Language (JEFL),IAIN PALANGKA RAYA,https://sinta.kemdikbud.go.id/journals/profile/56,Sinta 2,Education,20881657,25026615,https://scholar.google.co.id/citations?user=8AC5Pp4AAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/8982,http://e-journal.iain-palangkaraya.ac.id/index.php/jefl/index,3.53165,2938.0,2938.0,2691.0,29.0,28.0,86.0,79.0
57,Jurnal Matematika: MANTIK,UNIVERSITAS ISLAM NEGERI SUNAN AMPEL,https://sinta.kemdikbud.go.id/journals/profile/57,Sinta 3,Education,25273159,25273167,https://scholar.google.co.id/citations?user=IzV6IEsAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/10813,http://jurnalsaintek.uinsby.ac.id/index.php/mantik,3.0,804.0,804.0,745.0,17.0,16.0,31.0,30.0
58,Yuridika,UNIVERSITAS AIRLANGGA,https://sinta.kemdikbud.go.id/journals/profile/58,Sinta 1,Social,0215840,25283103,https://scholar.google.co.id/citations?user=0a2GJY8AAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/25350,https://e-journal.unair.ac.id/YDK,2.82759,5714.0,5714.0,4624.0,32.0,30.0,123.0,106.0
59,BACA: Jurnal Dokumentasi dan Informasi,LEMBAGA ILMU PENGETAHUAN INDONESIA,https://sinta.kemdikbud.go.id/journals/profile/59,Sinta 2,Science,01259008,23018593,https://scholar.google.co.id/citations?user=0wsxQIIAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/9562,http://jurnalbaca.pdii.lipi.go.id,0.0,722.0,722.0,595.0,12.0,11.0,19.0,15.0
60,De Jure: Jurnal Hukum dan Syar'iah,FAKULTAS SYARIAH UIN MAULANA MALIK IBRAHIM MALANG,https://sinta.kemdikbud.go.id/journals/profile/60,Sinta 1,Social,20851618,25281658,#!,#!,http://ejournal.uin-malang.ac.id/index.php/syariah,0.333333,2846.0,2846.0,2615.0,26.0,26.0,75.0,68.0
61,Al-A'raf : Jurnal Pemikiran Islam dan Filsafat,FAKULTAS USHULUDDIN DAN DAKWAH (FUD) INSTITUT AGAMA ISLAM NEGERI SURAKARTA,https://sinta.kemdikbud.go.id/journals/profile/61,Sinta 2,"Humanities, Art, Social, Religion",16939867,2527511,https://scholar.google.co.id/citations?user=yPJgHWkAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/9395,http://ejournal.iainsurakarta.ac.id/index.php/al-araf/index,2.4,1093.0,1093.0,1028.0,19.0,18.0,35.0,32.0
62,Jurnal Vokasi Kesehatan,POLTEKKES KEMENKES PONTIANAK,https://sinta.kemdikbud.go.id/journals/profile/62,Sinta 3,"Health, Social",24428183,24428183,https://scholar.google.co.id/citations?user=2oI698AAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/11274,http://ejournal.poltekkes-pontianak.ac.id,0.0,1250.0,1250.0,1170.0,18.0,17.0,34.0,32.0
63,Jurnal Pendidikan Keperawatan Indonesia,PRODI D3 KEPERAWATAN UNIVERSITAS PENDIDIKAN INDONESIA,https://sinta.kemdikbud.go.id/journals/profile/63,Sinta 3,Health,25410024,24773743,https://scholar.google.co.id/citations?user=5qYmIIwAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/8421,http://ejournal.upi.edu/index.php/JPKI/index,3.75,3124.0,3124.0,2981.0,30.0,27.0,72.0,69.0
64,ATAVISME JURNAL ILMIAH KAJIAN SASTRA,BALAI BAHASA JAWA TIMUR,https://sinta.kemdikbud.go.id/journals/profile/64,Sinta 2,Education,1410900,25035215,https://scholar.google.co.id/citations?user=p8CUn60AAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/8083,http://atavisme.kemdikbud.go.id/index.php/atavisme,0.0,1091.0,1091.0,873.0,14.0,12.0,27.0,18.0
65,Beta : Jurnal Tadris Matematika,PROGRAM STUDI TADRIS MATEMATIKA IAIN MATARAM,https://sinta.kemdikbud.go.id/journals/profile/65,Sinta 2,"Education, Social",25410458,25410458,https://scholar.google.co.id/citations?user=GB2h1rcAAAAJ&hl=en,https://garuda.kemdikbud.go.id/journal/view/12881,http://jurnalbeta.ac.id/index.php/betaJTM,2.5,2387.0,2387.0,2202.0,27.0,26.0,54.0,49.0
